[[OVERALL_VIEW]]
Participants: 71
2026 SFRSCCA #08 Live Results
Date: 2026-08-22

Overall Class PAX

Overall
Rank	Driver	Class - Number	Time
1	Teresa Neidel-McKee	XS-XB #41	58.789
2	Steve Lau	XS-XA #18	59.588
3	Justin Tsang	BST #88	59.842
4	Eric Gnesa	XS-XB #93	60.018
5	Tara Shapowal	XS-XA #187	60.019
6	Mack Tsang	BST #188	60.085
7	Tom Ellam	XS-XB #38	60.382
8	Lisa Gnesa	XS-XB #193	60.403
9	James Clenney	XS-EVX #76	60.656
10	James Laeno	XS-XU #96	60.779
11	Monty Pack	S1-SS #15	60.906
12	Chris Cox	XS-EVX #178	60.915
13	Drew Powers	XS-XB #138	61.052
14	Tony Rodriguez	XS-XU #39	61.504
15	Navid Kahangi	XS-EVX #80	61.571
16	Patrick Drudge	SST #126	61.964
17	Cody Mountjoy	S2-BS #23	61.990
18	Edwin Liu	SST #58	62.327
19	Jonathan Lugod	CST #94	62.425
20	Arvind Govindaraj	AST #17	62.449
21	Pilar Miranda	XS-EVX #180	63.013
22	Phil Castro	XS-XA #87	63.103
23	Erika McKee	XS-XB #14	63.175
24	Christopher Cook	CST #9	63.280
25	Shawn Tokairin	AST #938	63.333
26	Alex Petrovsky	AST #12	63.504
27	Glen Anderson	CST #79	63.670
28	Muamong Yiengyouav	CST #134	63.889
29	Christopher Rosario	S4-GS #33	64.062
30	Ed Runnion	CST #18	64.090
31	Justin Bowen	XS-EVX #48	64.205
32	Da Chang	CST #63	64.463
33	Kristen Acharya	AST #117	64.524
34	Dhiraj Jadhav	S4-GS #9	65.304
35	Yon Visell	BST #131	65.372
36	John Hartford	N-CST #108	65.860
37	Jonah Olsen	BST #370	65.870
38	Kaustav Acharya	S4-GS #90	65.954
39	Gregory Kehoe	BST #95	66.168
40	Jessica Yeung Lugod	CST #194	66.494
41	John Fabian	DST #55	66.503
42	Katja Seltmann	BST #31	66.734
43	Dennis Quilantang	CST #137	67.028
44	Gary Fazekas	S2-FS #46	68.102
45	Anthony Zwain	XS-XU #139	69.015
46	Noah Sulzberg	BST #8	69.655
47	Eugene Bulavin	N-GS #410	70.207
48	Bert Schneider	S2-BS #22	72.140
49	Kate Engelking	AST #9	72.582
50	Scott Abuso	CST #28	72.743
51	Jordan Stone	N-DST #88	72.831
52	Patty Jeschien	S4-HS #23	73.333
53	Megan Anderson	CST #76	73.678
54	Hector Wong	N-XB #94	73.831
55	Myles Wang	CST #6	74.460
56	Thomas Bock	N-BS #707	74.545
57	Tzen-Chuen Ng	N-BS #56	74.609
58	Nami Ranjbarsadeghi	N-GS #24	74.949
59	Farouk Rice	N-BST #78	75.499
60	Brandon Ha	N-CST #25	75.734
61	Vincent Boc	N-BS #273	76.324
62	Karthik Anand	N-GS #909	77.041
63	Alexander Blum	N-BST #178	78.223
64	Anthony Chu	N-HS #26	82.430
65	Alexander Bowen	S4-HS #1	83.355
66	Kris Ludwig	BST #151	84.524
67	Raymond Ha	N-CST #23	89.110
68	Mikhail Korobetskiy	N-BST #350	107.101
69	Michael Bowen	S4-GS #331	107.645
70	Andrei Malyshev	N-GS #77	999.000
70	Frank Frick	BST #28	999.000

[[PAX_VIEW]]
Participants: 71
2026 SFRSCCA #08 Live Results
Date: 2026-08-22

Overall Class PAX

Overall
Rank	Driver	Class - Number	Time
1	Teresa Neidel-McKee	XS-XB #41	58.789
2	Steve Lau	XS-XA #18	59.588
3	Justin Tsang	BST #88	59.842
4	Eric Gnesa	XS-XB #93	60.018
5	Tara Shapowal	XS-XA #187	60.019
6	Mack Tsang	BST #188	60.085
7	Tom Ellam	XS-XB #38	60.382
8	Lisa Gnesa	XS-XB #193	60.403
9	James Clenney	XS-EVX #76	60.656
10	James Laeno	XS-XU #96	60.779
11	Monty Pack	S1-SS #15	60.906
12	Chris Cox	XS-EVX #178	60.915
13	Drew Powers	XS-XB #138	61.052
14	Tony Rodriguez	XS-XU #39	61.504
15	Navid Kahangi	XS-EVX #80	61.571
16	Patrick Drudge	SST #126	61.964
17	Cody Mountjoy	S2-BS #23	61.990
18	Edwin Liu	SST #58	62.327
19	Jonathan Lugod	CST #94	62.425
20	Arvind Govindaraj	AST #17	62.449
21	Pilar Miranda	XS-EVX #180	63.013
22	Phil Castro	XS-XA #87	63.103
23	Erika McKee	XS-XB #14	63.175
24	Christopher Cook	CST #9	63.280
25	Shawn Tokairin	AST #938	63.333
26	Alex Petrovsky	AST #12	63.504
27	Glen Anderson	CST #79	63.670
28	Muamong Yiengyouav	CST #134	63.889
29	Christopher Rosario	S4-GS #33	64.062
30	Ed Runnion	CST #18	64.090
31	Justin Bowen	XS-EVX #48	64.205
32	Da Chang	CST #63	64.463
33	Kristen Acharya	AST #117	64.524
34	Dhiraj Jadhav	S4-GS #9	65.304
35	Yon Visell	BST #131	65.372
36	John Hartford	N-CST #108	65.860
37	Jonah Olsen	BST #370	65.870
38	Kaustav Acharya	S4-GS #90	65.954
39	Gregory Kehoe	BST #95	66.168
40	Jessica Yeung Lugod	CST #194	66.494
41	John Fabian	DST #55	66.503
42	Katja Seltmann	BST #31	66.734
43	Dennis Quilantang	CST #137	67.028
44	Gary Fazekas	S2-FS #46	68.102
45	Anthony Zwain	XS-XU #139	69.015
46	Noah Sulzberg	BST #8	69.655
47	Eugene Bulavin	N-GS #410	70.207
48	Bert Schneider	S2-BS #22	72.140
49	Kate Engelking	AST #9	72.582
50	Scott Abuso	CST #28	72.743
51	Jordan Stone	N-DST #88	72.831
52	Patty Jeschien	S4-HS #23	73.333
53	Megan Anderson	CST #76	73.678
54	Hector Wong	N-XB #94	73.831
55	Myles Wang	CST #6	74.460
56	Thomas Bock	N-BS #707	74.545
57	Tzen-Chuen Ng	N-BS #56	74.609
58	Nami Ranjbarsadeghi	N-GS #24	74.949
59	Farouk Rice	N-BST #78	75.499
60	Brandon Ha	N-CST #25	75.734
61	Vincent Boc	N-BS #273	76.324
62	Karthik Anand	N-GS #909	77.041
63	Alexander Blum	N-BST #178	78.223
64	Anthony Chu	N-HS #26	82.430
65	Alexander Bowen	S4-HS #1	83.355
66	Kris Ludwig	BST #151	84.524
67	Raymond Ha	N-CST #23	89.110
68	Mikhail Korobetskiy	N-BST #350	107.101
69	Michael Bowen	S4-GS #331	107.645
70	Andrei Malyshev	N-GS #77	999.000
70	Frank Frick	BST #28	999.000

[[CLASS_VIEW]]
Participants: 71
2026 SFRSCCA #08 Live Results
Date: 2026-08-22

Overall Class PAX

Overall
Rank	Driver	Class - Number	Time
1	Teresa Neidel-McKee	XS-XB #41	58.789
2	Steve Lau	XS-XA #18	59.588
3	Justin Tsang	BST #88	59.842
4	Eric Gnesa	XS-XB #93	60.018
5	Tara Shapowal	XS-XA #187	60.019
6	Mack Tsang	BST #188	60.085
7	Tom Ellam	XS-XB #38	60.382
8	Lisa Gnesa	XS-XB #193	60.403
9	James Clenney	XS-EVX #76	60.656
10	James Laeno	XS-XU #96	60.779
11	Monty Pack	S1-SS #15	60.906
12	Chris Cox	XS-EVX #178	60.915
13	Drew Powers	XS-XB #138	61.052
14	Tony Rodriguez	XS-XU #39	61.504
15	Navid Kahangi	XS-EVX #80	61.571
16	Patrick Drudge	SST #126	61.964
17	Cody Mountjoy	S2-BS #23	61.990
18	Edwin Liu	SST #58	62.327
19	Jonathan Lugod	CST #94	62.425
20	Arvind Govindaraj	AST #17	62.449
21	Pilar Miranda	XS-EVX #180	63.013
22	Phil Castro	XS-XA #87	63.103
23	Erika McKee	XS-XB #14	63.175
24	Christopher Cook	CST #9	63.280
25	Shawn Tokairin	AST #938	63.333
26	Alex Petrovsky	AST #12	63.504
27	Glen Anderson	CST #79	63.670
28	Muamong Yiengyouav	CST #134	63.889
29	Christopher Rosario	S4-GS #33	64.062
30	Ed Runnion	CST #18	64.090
31	Justin Bowen	XS-EVX #48	64.205
32	Da Chang	CST #63	64.463
33	Kristen Acharya	AST #117	64.524
34	Dhiraj Jadhav	S4-GS #9	65.304
35	Yon Visell	BST #131	65.372
36	John Hartford	N-CST #108	65.860
37	Jonah Olsen	BST #370	65.870
38	Kaustav Acharya	S4-GS #90	65.954
39	Gregory Kehoe	BST #95	66.168
40	Jessica Yeung Lugod	CST #194	66.494
41	John Fabian	DST #55	66.503
42	Katja Seltmann	BST #31	66.734
43	Dennis Quilantang	CST #137	67.028
44	Gary Fazekas	S2-FS #46	68.102
45	Anthony Zwain	XS-XU #139	69.015
46	Noah Sulzberg	BST #8	69.655
47	Eugene Bulavin	N-GS #410	70.207
48	Bert Schneider	S2-BS #22	72.140
49	Kate Engelking	AST #9	72.582
50	Scott Abuso	CST #28	72.743
51	Jordan Stone	N-DST #88	72.831
52	Patty Jeschien	S4-HS #23	73.333
53	Megan Anderson	CST #76	73.678
54	Hector Wong	N-XB #94	73.831
55	Myles Wang	CST #6	74.460
56	Thomas Bock	N-BS #707	74.545
57	Tzen-Chuen Ng	N-BS #56	74.609
58	Nami Ranjbarsadeghi	N-GS #24	74.949
59	Farouk Rice	N-BST #78	75.499
60	Brandon Ha	N-CST #25	75.734
61	Vincent Boc	N-BS #273	76.324
62	Karthik Anand	N-GS #909	77.041
63	Alexander Blum	N-BST #178	78.223
64	Anthony Chu	N-HS #26	82.430
65	Alexander Bowen	S4-HS #1	83.355
66	Kris Ludwig	BST #151	84.524
67	Raymond Ha	N-CST #23	89.110
68	Mikhail Korobetskiy	N-BST #350	107.101
69	Michael Bowen	S4-GS #331	107.645
70	Andrei Malyshev	N-GS #77	999.000
70	Frank Frick	BST #28	999.000
